model,publication_date,year,organization,domain,task,parameters,training_compute_flop,training_dataset_size_total,log10_parameters,log10_training_compute_flop,log10_training_dataset_size_total,parameters_provenance,training_compute_provenance,training_dataset_provenance,parameters_algorithm_imputed_flag,training_compute_algorithm_imputed_flag,training_dataset_algorithm_imputed_flag,reasoning_flag,tool_use_flag,agentic_flag,chat_flag,code_flag,multimodal_flag,historical_architecture_anchor,open_model_weights_code,foundation_model_flag,frontier_model_flag,imputed_any_flag
MoE-Multi,2017-01-23,2017,"Jagiellonian University,Google Brain",Language,"Language modeling,Translation",8700000000,9.393905664e+19,87000000000,9.93951925262,19.9728461946,10.9395192526,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mnemonic Reader,2017-05-08,2017,"Fudan University,Microsoft Research",Language,Question answering,34000000,1.06e+16,215570,7.53147891704,16.0253058653,5.33358832172,mice_pmm,mice_pmm,strict_observed,1,1,0,0,0,0,0,0,0,0,-1,0,0,1
Reading Twice for NLU,2017-06-08,2017,DeepMind,Language,Question answering,19000000,7.296e+16,200000,7.27875360095,16.8630848253,5.30102999566,mice_pmm,mice_pmm,epoch_source_estimate,1,1,0,0,0,0,0,0,0,0,-1,0,0,1
Transformer,2017-06-12,2017,"Google Research,Google Brain",Language,Translation,213000000,7.4245248e+18,832000000,8.32837960344,18.8706686623,8.92012332629,strict_observed,epoch_source_estimate,strict_observed,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AWD-LSTM,2017-07-18,2017,"DeepMind,University of Oxford",Language,Language modeling,24000000,3.06e+17,2000000,7.38021124171,17.4857214265,6.30102999566,strict_observed,mice_pmm,strict_observed,0,1,0,0,0,0,0,0,0,0,0,0,0,1
GSM,2017-07-30,2017,"Peking University,Microsoft Research",Language,Question answering,35000000,1.06e+16,215570,7.54406804435,16.0253058653,5.33358832172,mice_pmm,mice_pmm,epoch_source_estimate,1,1,0,0,0,0,0,0,0,0,-1,0,0,1
AWD-LSTM - 3-layer LSTM (tied) + continuous cache pointer (WT2),2017-08-07,2017,Salesforce Research,Language,Language modeling,33000000,2.97e+17,2000000,7.51851393988,17.4727564493,6.30102999566,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EI-REHN-1000D,2017-08-14,2017,Korea Advanced Institute of Science and Technology (KAIST),Language,Language modeling,19000000,1.06e+16,929000,7.27875360095,16.0253058653,5.96801571399,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL-LWGC-AWD-MoS-LSTM + dynamic evaluation (WT2),2017-08-29,2017,Ben-Gurion University of the Negev,Language,Language modeling,38000000,4.56e+17,2000000,7.57978359662,17.6589648427,6.30102999566,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISS,2017-09-15,2017,"Duke University,Microsoft",Language,Language modeling,11100000,3.4e+15,929000,7.04532297879,15.531478917,5.96801571399,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSTM + dynamic eval,2017-09-21,2017,University of Edinburgh,Language,Language modeling,50000000,5.188e+16,90000000,7.69897000434,16.7149999674,7.95424250944,epoch_source_estimate,mice_pmm,epoch_source_estimate,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AWD-LSTM+WT+Cache+IOG (WT2),2017-09-26,2017,NTT Communication Science Laboratories,Language,Language modeling,53000000,3.18e+15,2000000,7.7242758696,15.50242712,6.30102999566,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PhraseCond,2017-10-28,2017,"Carnegie Mellon University (CMU),University of Pittsburgh",Language,Question answering,25416530.0543,1.06e+16,160000,7.405116259,16.0253058653,5.20411998266,mice_pmm,mice_pmm,strict_observed,1,1,0,0,0,0,0,0,0,0,-1,0,0,1
S-Norm,2017-10-29,2017,"University of Washington,Allen Institute for AI",Language,Question answering,28372521.9182,2.61200612557e+15,1060000,7.45289794018,15.4169741911,6.02530586526,mice_pmm,mice_pmm,strict_observed,1,1,0,0,0,0,0,0,0,0,-1,0,0,1
DCN+,2017-10-31,2017,Salesforce Research,Language,Question answering,28372521.9182,3.4e+15,215570,7.45289794018,15.531478917,5.33358832172,mice_pmm,mice_pmm,strict_observed,1,1,0,0,0,0,0,0,0,0,0,0,0,1
Fraternal dropout + AWD-LSTM 3-layer (WT2),2017-10-31,2017,"Jagiellonian University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),University of Montreal / Université de Montréal",Language,Language modeling,34000000,3.06e+17,2000000,7.53147891704,17.4857214265,6.30102999566,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2017)",2017-11-10,2017,Carnegie Mellon University (CMU),Language,Language modeling,35000000,3.36e+18,2000000,7.54406804435,18.5263392774,6.30102999566,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL scaling LM,2017-12-01,2017,Baidu,Language,Language modeling,177000000,3.25091494813e+18,400000000,8.24797326636,18.5120056074,8.60205999133,epoch_source_estimate,mice_pmm,epoch_source_estimate,0,1,0,0,0,0,0,0,0,0,0,0,0,1
T-DMCA,2018-01-30,2018,Google Brain,Language,"Language modeling,Text summarization",318614186.753,3.07646642888e+19,14000000000,8.50326510948,19.4880521803,10.1461280357,mice_pmm,mice_pmm,epoch_source_estimate,1,1,0,0,0,0,0,0,0,0,0,0,0,1
ELMo,2018-02-01,2018,"University of Washington,Allen Institute for AI",Language,"Question answering,Sentiment classification,Language modeling",94000000,3.3001e+15,2000000000,7.9731278536,15.5185271001,9.30102999566,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
QRNN,2018-02-01,2018,Salesforce Research,Language,Language modeling,135000000,6.8866472e+17,103000000,8.1303337685,17.8380078348,8.01283722471,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 layer QRNN (h=2500),2018-03-22,2018,Salesforce Research,Language,Language modeling,151000000,5.9158815e+17,103000000,8.17897694729,17.7720194661,8.01283722471,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dropout-LSTM+Noise(Bernoulli) (WT2),2018-05-03,2018,"Columbia University,New York University (NYU),Princeton University",Language,Language modeling,51000000,1.27e+17,2000000,7.7075701761,17.103803721,6.30102999566,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aLSTM(depth-2)+RecurrentPolicy (WT2),2018-05-22,2018,"University of Manchester,Alan Turing Institute",Language,Language modeling,32000000,7.296e+16,2000000,7.50514997832,16.8630848253,6.30102999566,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPT-1,2018-06-01,2018,OpenAI,Language,"Question answering,Text classification,Language modeling",117000000,1.7578125e+19,1333333333,8.06818586175,19.2449725485,9.1249387365,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Relational Memory Core,2018-06-05,2018,"DeepMind,University College London (UCL)",Language,Language modeling,247000000,1.29497388267e+19,4000000000,8.39269695326,19.1122610096,9.60205999133,mice_pmm,mice_pmm,strict_observed,1,1,0,0,0,0,0,0,0,0,0,0,0,1
AWD-LSTM-MoS+PDR + dynamic evaluation (WT2),2018-08-14,2018,IBM,Language,Language modeling,35000000,5.188e+16,2000000,7.54406804435,16.7149999674,6.30102999566,strict_observed,mice_pmm,strict_observed,0,1,0,0,0,0,0,0,0,0,0,0,0,1
(ensemble): AWD-LSTM-DOC (fin) × 5 (WT2),2018-08-30,2018,"NTT Communication Science Laboratories,Tohoku University",Language,Language modeling,185000000,6.66e+17,2000000,8.2671717284,17.8234742292,6.30102999566,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2018)",2018-09-18,2018,"Peking University,Microsoft Research Asia",Language,"Language modeling,Translation,Text classification",35000000,1.27e+17,2000000,7.54406804435,17.103803721,6.30102999566,strict_observed,mice_pmm,strict_observed,0,1,0,0,0,0,0,0,0,0,0,0,0,1
LSTM+NeuralCache,2018-09-24,2018,"KU Leuven,ESAT - PSI,Apple",Language,Language modeling,2100000,9.828e+14,2000000,6.32221929473,14.9924651478,6.30102999566,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
